"Año","Mes","lon","lat","ID Estado","Estado","Ciudad","Precio.promedio"
2017,3,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.74625
2017,3,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",18.0707407407407
2017,3,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.312
2017,3,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",16.4475
2017,3,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",15.24375
2017,3,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.56
2017,3,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",17.98
2017,3,2319645.58177018,805748.229520169,6,"Colima","Colima",17.796
2017,3,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",17.27875
2017,3,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.76
2017,3,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.59
2017,3,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.82
2017,3,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",17.955
2017,3,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.78
2017,3,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",18.29
2017,3,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.7216666666667
2017,3,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.89
2017,3,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.63
2017,3,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",17.9566666666667
2017,3,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",18.1725
2017,3,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.6538461538462
2017,3,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.75875
2017,3,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",15.31375
2017,3,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",17.0858333333333
2017,3,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.26875
2017,3,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.695
2017,3,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",18.084
2017,3,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.8066666666667
2017,3,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.5708333333333
2017,3,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.4329411764706
2017,3,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.7014285714286
2017,3,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.765
2017,3,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.6222222222222
2017,3,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",17.096
2017,3,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.6175
